time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-25T05:12:28.940Z,-17.1298,167.5662,53.1,4.6,mb,,149,3.641,1.3,us,us1000drtf,2018-04-25T05:30:45.040Z,"104km NW of Port-Vila, Vanuatu",earthquake,9.9,7,0.09,37,reviewed,us,us
2018-04-25T01:33:24.330Z,-17.073,-171.9034,20.92,5,mb,,64,2.739,1.3,us,us1000drrr,2018-04-25T01:56:44.040Z,"233km ESE of Hihifo, Tonga",earthquake,9.1,4.7,0.058,96,reviewed,us,us
2018-04-25T00:06:56.550Z,70.8693,-6.3056,10,5.3,mb,,50,5.207,1.12,us,us1000drqf,2018-04-25T15:30:35.040Z,"88km E of Olonkinbyen, Svalbard and Jan Mayen",earthquake,6.5,1.8,0.03,373,reviewed,us,us
2018-04-24T21:57:00.010Z,-23.9169,179.8337,529.99,5.5,mww,,38,5.671,1.07,us,us1000drm0,2018-04-25T15:24:36.040Z,"South of the Fiji Islands",earthquake,10,6.7,0.073,18,reviewed,us,us
2018-04-24T21:38:04.450Z,-60.0965,-31.2231,10,5.3,mww,,71,6.49,0.88,us,us1000drln,2018-04-24T21:57:01.040Z,"291km WSW of Bristol Island, South Sandwich Islands",earthquake,7.2,1.7,0.078,16,reviewed,us,us
2018-04-24T15:52:05.010Z,36.7214,70.687,261,4.9,mb,,45,0.413,0.59,us,us1000drbv,2018-04-25T12:00:28.590Z,"20km SW of Jarm, Afghanistan",earthquake,7.8,5.2,0.035,260,reviewed,us,us
2018-04-24T12:23:34.070Z,18.3457,96.1139,10,5.1,mb,,32,1.999,0.66,us,us1000dr8g,2018-04-24T21:41:18.040Z,"37km WSW of Pyu, Burma",earthquake,2.5,1.9,0.064,79,reviewed,us,us
2018-04-24T12:01:31.555Z,59.7417,179.6478,10,4.5,ml,,,,0.84,ak,ak19262563,2018-04-24T17:59:20.791Z,"Bering Sea",earthquake,,0,,,reviewed,ak,ak
2018-04-24T11:44:18.160Z,-8.0837,156.4209,10,4.9,mb,,56,3.736,0.63,us,us1000dr82,2018-04-24T12:14:41.049Z,"46km W of Gizo, Solomon Islands",earthquake,8.8,1.9,0.067,69,reviewed,us,us
2018-04-24T08:53:21.680Z,43.3579,145.7435,79.92,5.5,mww,,49,2.331,0.99,us,us1000dr71,2018-04-24T18:08:20.040Z,"14km ENE of Nemuro, Japan",earthquake,7.7,5.7,0.071,19,reviewed,us,us
2018-04-24T04:08:35.590Z,22.9227,94.6044,105.85,5.2,mb,,51,0.968,1.03,us,us1000dr4k,2018-04-24T21:08:11.040Z,"81km SSE of Mawlaik, Burma",earthquake,2.6,6.8,0.113,26,reviewed,us,us
2018-04-24T03:05:35.870Z,-8.3875,118.282,158.84,4.8,mb,,74,3.655,0.83,us,us1000dr3u,2018-04-24T03:15:49.040Z,"3km WSW of Pali, Indonesia",earthquake,7.3,10.1,0.185,9,reviewed,us,us
2018-04-24T02:44:31.910Z,-14.3188,-74.293,73.08,4.6,mb,,122,3.396,1.09,us,us1000dr3g,2018-04-24T11:05:04.239Z,"45km NNW of Puquio, Peru",earthquake,3.6,7.8,0.092,35,reviewed,us,us
2018-04-24T02:29:53.660Z,12.5217,-87.7538,46.97,5.6,mww,,129,0.708,1.03,us,us1000dr32,2018-04-25T17:28:14.326Z,"41km SW of Jiquilillo, Nicaragua",earthquake,5.7,5.3,0.049,40,reviewed,us,us
2018-04-24T01:15:43.320Z,10.9364,91.7753,35,4.5,mb,,184,1.189,1.7,us,us1000dr23,2018-04-24T01:30:48.040Z,"133km SW of Port Blair, India",earthquake,7.3,2,0.15,13,reviewed,us,us
2018-04-24T00:58:47.340Z,-0.2708,-80.366,23.61,4.5,mwr,,88,1.886,1.13,us,us1000dr1w,2018-04-24T11:03:50.836Z,"36km N of Bahia de Caraquez, Ecuador",earthquake,4.5,5,0.078,16,reviewed,us,us
2018-04-24T00:34:31.350Z,37.6123,38.5038,10,5.2,mww,,35,1.12,1.04,us,us1000dr1j,2018-04-24T16:17:12.040Z,"4km NE of Samsat, Turkey",earthquake,5.3,1.8,0.071,19,reviewed,us,us
2018-04-23T23:18:50.740Z,-3.0448,147.5587,10,4.9,mb,,68,1.013,0.85,us,us1000dr0e,2018-04-23T23:40:46.040Z,"117km SSE of Lorengau, Papua New Guinea",earthquake,7.2,1.9,0.059,90,reviewed,us,us
2018-04-23T21:40:06.120Z,1.8778,125.519,54.55,4.6,mb,,92,2.149,1.21,us,us1000dqyb,2018-04-23T21:58:18.040Z,"60km NE of Bitung, Indonesia",earthquake,8.2,7.6,0.084,42,reviewed,us,us
2018-04-23T20:57:32.940Z,50.2233,156.6874,58.75,4.5,mb,,138,2.957,0.64,us,us1000dqx1,2018-04-23T21:38:36.040Z,"64km SE of Severo-Kuril'sk, Russia",earthquake,12.5,7.5,0.072,56,reviewed,us,us
2018-04-23T19:20:56.440Z,-34.2737,-112.7652,10,5,mb,,237,32.864,1.35,us,us1000dquh,2018-04-23T21:24:45.040Z,"Southern East Pacific Rise",earthquake,18.9,2,0.073,59,reviewed,us,us
2018-04-23T18:01:27.070Z,13.1856,92.387,30.36,4.9,mb,,51,1.56,0.82,us,us1000dqt3,2018-04-23T18:29:46.040Z,"168km NNW of Bamboo Flat, India",earthquake,7.5,5,0.074,57,reviewed,us,us
